,amm,id,rate,timestamp,underlyingPrice,date
3973,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x8bcf2b46b1a5412d7191c5b554d857d46d8487e5bc179262e6f4ff6dde3d2b8f-0,0.000101520118233491,1608411655,662.2816534656362,2020-12-19 21:00:55
3972,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x76ab8c176784ad380fcf52742cf0b0d408285455556e611fd1784c6e1c3a8a4a-0,5.6192314966771e-05,1608415260,667.1212761095222,2020-12-19 22:01:00
3971,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x2b329f67b9411285f8144accc0eb43c9f00fa4906b26c3ab40f555d90fdef130-0,8.6800221949359e-05,1608418860,663.9145469711889,2020-12-19 23:01:00
3970,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xc58b10b2bbc8de63a3cc99162203a5ed2cfcdd6407380a374cfc92564aa55cc2-0,9.9362390245947e-05,1608422460,660.5720199611806,2020-12-20 00:01:00
3969,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x6fa8ced90b8e5e6ed3b3df89158e751baad7b5d95f942181443ae18b782151b1-0,3.857055414436e-05,1608426055,650.7366976897889,2020-12-20 01:00:55
3968,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xe38912a1bcdfbb66e5c58c0371fb2f9de9d76510ca9a32f96438af281167df5d-0,4.7475724039203e-05,1608429655,648.0954720731334,2020-12-20 02:00:55
3967,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xec63f735a34a02a80c870622a580311351b36cb723d32b9f12902cc528923826-0,6.0476532286112e-05,1608433255,648.2034411408279,2020-12-20 03:00:55
3966,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xeaeca8434251e47f845004a201cd4e593321b7120becca4e0a6feb200e7ec74b-0,3.5435488114862e-05,1608436855,646.8543148491306,2020-12-20 04:00:55
3965,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x27850d8c6aa3a77ac8539786701e7be5e03fe48b8157979d31e7d1ca9ff281ab-0,2.4740270296229e-05,1608440455,645.7485851638334,2020-12-20 05:00:55
3964,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x388038ca9c95f75196f4745ea2ab1957fd85362c3dbbb3ca7fa9a18e0fb279c9-0,1.9566251638773e-05,1608444055,648.3345682633666,2020-12-20 06:00:55
3963,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x4fffa61f01df83ed47cb3fbf6ef806b2ac3951d733b75340387232edd6184167-0,2.6488243670363e-05,1608447660,650.1238031361556,2020-12-20 07:01:00
3962,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xc7398492cfcd4bfde4d6ef9e5531834736ed49a8ea02068607df439eb0c7a2c1-1,0.000112763302499811,1608451260,650.81121028845,2020-12-20 08:01:00
